numeric_id,user_id,mention_freq,RT_freq,reply_freq
1214742430601187328,@army2pr,1830,1293,399
229313308,@armypr_news,1559,958,591
267243786,@WassanaNanuam,921,705,202
358491915,@1st_Army_Area,782,476,302
337604843,@weloverta,437,255,182
37950212,@ThaiPBS,436,253,179
1040252793339240448,@prayutofficial,347,211,129
199992361,@political_drama,346,279,40
1206467004338556929,@JuahuaHeadline,324,166,157
87732915,@SpringNews_TV,292,142,150
1212591967080574977,@Army4PR,276,149,101
980807795464220672,@FWPthailand,266,35,118
65314514,@MatichonOnline,253,129,113
86899675,@Thairath_News,229,115,108
53864669,@VoiceTVOfficial,227,105,112
1203162559353765891,@FCRMP02,216,161,55
735448052031361025,@boworn241,213,210,2
4711233222,@workpointnews,210,100,108
61995183,@ARMdhiravath,203,97,95
1136977159765934080,@Rorscha24745488,202,166,26
1054672708661723137,@teabhoky,174,119,47
1018482744207147008,@Piyabutr_FWP,174,43,107
1121682547652513792,@tanawatofficial,170,46,116
715916606,@Pannika_FWP,170,26,94
834243316233351169,@thestandardth,162,75,79
71fqNbaUiwCbBUFuJ6EfAKuw5FsDjoeacCywB+WAXc=,@71fqNbaUiwCbBUFuJ6EfAKuw5FsDjoeacCywB+WAXc=,159,144,9
1212598472857145345,@army3news,156,92,63
138726107,@a_veerayut,156,112,28
1009733238330281985,@wirojlak,137,30,89
1196284294282412037,@thaiarmyletter,137,135,2
92222661,@tigeryellowlive,136,109,25
51982918,@pookem,133,87,45
971024778730459136,@Thanathorn_FWP,124,24,64
1153215439553486848,@consernews1,123,50,69
50257835,@SSynicall,120,66,24
61760897,@iLawclub,113,49,60
1159383524505354240,@SMARTSSArmy,112,78,34
1209016973675253760,@3_INFANTRY_DIV,105,103,2
1877783624,@PPTVHD36,94,46,47
1209330189886353408,@siam1warriors,90,61,27
394850348,@Alitsarah,88,10,42
1101129316417454080,@AmDaengPrapi,88,48,40
1093807114617679872,@PPRP_Unofficial,77,12,34
64684234,@sinchaichao,75,50,24
1162013091833364480,@AmaratJeab,75,18,55
y7FapQRVE28Qruq6Q3+NLYWDi1RUptNhRk1eCGn7E5c=,@y7FapQRVE28Qruq6Q3+NLYWDi1RUptNhRk1eCGn7E5c=,74,74,0
1202923982200045568,@dayrajchanshare,69,31,35
1188724507432718336,@AFNCThailand,68,26,41
1114818760135696385,@kovitw1,67,20,41
1082182785501020160,@MaisonWanvipa,64,32,32
123907907,@Kunthida_FWP,63,25,18
1209331337636675584,@25th_MC_RTA,62,56,6
264608882,@TNAMCOT,62,38,14
63366677,@Unrulycat2511,60,16,42
20586159,@PostToday,60,30,30
211395583,@MorningNewsTV3,60,52,8
4013102233,@pakornwut,59,32,23
1013345393856282625,@Stikaluk,57,28,12
1167020856079343616,@TanwarinS,56,39,17
1156950089367035904,@DrNarumonP,55,47,7
132565532,@BTS_SkyTrain,55,30,17
19059272,@ktnewsonline,55,32,21
2294029646,@ThaiPBSNews,54,24,30
3799267579,@Nichada1998,51,38,5
1185594258738122752,@RedBuffaloFre,49,41,4
1122092474233581569,@WithPiyabutr,48,5,14
730993257400819712,@112233Demm,48,19,27
919935068365135873,@katchata_peat,47,28,15
1136225579202560000,@saliminyourarea,45,2,4
14093581,@klaikong,45,24,17
148271173,@fm91trafficpro,44,34,9
1203940848167047170,@saeplay1,44,25,19
1118893846983614464,@kasemsanmeethip,44,26,18
2694489102,@Bowz_Crazyz,43,15,25
3241492268,@TLHR2014,42,11,24
25802588,@pizad_sura,42,6,7
50916567,@NationTV22,41,26,15
1091362173459214337,@MatichonTV,41,9,32
49906316,@orange_n_peach,41,12,10
238488874,@taopiphop,40,22,16
10228272,@YouTube,39,0,0
ZRgrhPVDBDZN2A0qNCaOY2Iy3OK3tSnEpAdNzaskj1Q=,@ZRgrhPVDBDZN2A0qNCaOY2Iy3OK3tSnEpAdNzaskj1Q=,39,39,0
2564675461,@vnomenon,38,32,6
9594042,@mthai,38,27,9
43348550,@nuling,37,6,16
58219570,@johnwinyu,37,6,20
583447601,@MGROnlineLive,37,14,23
998509048273125376,@TheStandardPOP,36,31,5
730332919516958721,@thematterco,36,20,16
21539210,@Woodytalk,36,13,22
3121015171,@paritchi,35,15,20
1131070236248035328,@nuttha_FWP,34,23,8
237770028,@Hyunjin_Lovely,33,13,17
256904057,@INamKaa,33,16,13
149909321,@FightInProcess,33,6,19
1048106664929374208,@ssj_2475,32,4,11
1708706017,@mousey2355,31,7,6
2295769782,@pursue_309,30,0,0
1245690818179911680,@ThaiCovidCenter,30,25,5
24871506,@Kom_chad_luek,30,25,5
1143625912623104000,@WarmUp53234935,30,24,6
871007931835138049,@EJanNews,29,28,1
191505183,@aorwiki,29,8,14
106324785,@nnanews,28,27,1
3309484274,@rakthai477,28,9,19
892970007415541760,@PaddyPure,28,2,5
74736331,@Pongz_KT,28,0,0
234274515,@weeranan,28,9,9
r0m+1f+BAf8vzeHWPfu9BPAw6GsSvdvZUwcnq9oPA=,@r0m+1f+BAf8vzeHWPfu9BPAw6GsSvdvZUwcnq9oPA=,27,27,1
1085036527325859841,@taweechaibest,27,0,9
105560125,@Tenn1969,27,22,5
12425692,@suthichai,26,5,1
1376852185,@KhaosodEnglish,26,21,2
832547220931108865,@kandainthai,26,12,6
891577570054950913,@WorkpointShorts,25,16,9
901120409872900099,@hengsuaycountry,25,4,7
287629297,@grimmjow_j4eger,25,4,5
2668292330,@pran2844,25,3,22
15016766,@prachatai,25,5,15
64651853,@toyubomm,25,3,7
1129680824847048704,@Lucky64572567,25,1,5
55857071,@issarar,24,22,2
2226851126,@newtv_18,24,21,3
1208962258308493312,@bodindecha16,24,24,0
1094835427431768064,@fwpnpt,24,6,7
1542865891,@B1_wipa,24,4,2
1110432091395801088,@QdHUEEmbdmwLxdF,23,7,16
66038149,@Rang70,23,2,3
1190628683268018176,@realMaxzTirayut,23,14,9
2456387905,@TiaInw,23,9,13
999771323667632128,@iamToot789,23,12,11
2446544586,@Phyme_,22,3,4
1089773358722338816,@TipananOfficial,21,20,1
850355083703275521,@PantiwaCat,21,0,0
2242613616,@Stop_Dadjarit,21,5,13
1098211572994924545,@TheCatCoby,20,8,8
2923428150,@jomjai_konjing,20,3,8
1210046809747230720,@siharatdecho,20,16,2
23619878,@sirotek,20,7,12
1209032269857296385,@ArmyYamo302,20,12,8
2327592780,@my_JHLS,19,2,2
2529194724,@mongkhonaiam,19,6,11
3223215480,@pruetthigon,19,1,17
968067084369317888,@sudaratofficial,19,3,10
1021061222345584641,@IrPjo34498437,19,0,0
2519629339,@Sirawith_S,19,11,7
143688499,@pr_moph,18,12,6
624680123,@LGinlove,18,1,14
213533791,@Pichailive,18,2,15
1094801997012688896,@Pita_FWP,18,7,6
h1Ka4Wy3ASgvWFSkxbXGQhHUjGMDApsQ6JrSOoVtvy0=,@h1Ka4Wy3ASgvWFSkxbXGQhHUjGMDApsQ6JrSOoVtvy0=,18,17,1
1135887200,@Kea_New,17,16,1
145931392,@DailynewsTwit,17,13,4
1179791538689212416,@thanaaer1,17,14,1
788472458,@ChangeThailand,17,0,0
1205774669791428609,@FWPthailandBad,17,16,1
919533848332869632,@wethmon,17,7,0
1019882242414325761,@JHoungsub,17,14,1
107635564,@nationweekend,16,11,5
729291120484581376,@Stone_nayouung,16,7,8
448161711,@chernorris,16,7,9
885042838941175811,@PMDUThailand,16,10,6
1098887750692921344,@TheMettad,16,6,8
740906374549274636,@seawonn,16,2,2
974499559056424960,@CSDThailand,15,12,3
3315676758,@pizad_sunak,15,5,2
1116610214965334016,@thereportersth,15,9,6
1103481796321107968,@geckocooking,15,12,3
1159025486929879040,@Bench_BenchaFWP,15,4,9
ZvRUm7WNz8CDKY3GQvE3X7FXwMHAv34qJ353Tf3aBA=,@ZvRUm7WNz8CDKY3GQvE3X7FXwMHAv34qJ353Tf3aBA=,15,1,15
583857653,@shutup2557,15,6,8
1210390459370967041,@DrnewSuphanat,15,9,6
1477742143,@theseashore_,15,8,7
554918064,@AAmornsrisang,15,5,8
2616800226,@TV24Official,14,4,8
1100911424698671104,@lovegenprayut,14,8,6
359955132,@THarmharm,14,13,1
91053979,@js100radio,14,13,0
2479547882,@BrightTodayTh,14,9,5
117772853,@Teerapol_arm,14,4,9
1095840339699499013,@yanathicha_fwp,13,6,3
927867302166401024,@E_ake1978,13,12,0
925206827930763264,@naewna_news,13,0,0
1202918993398398977,@BcommanderTH,13,6,6
583457729,@sereepisuth,13,2,4
1021053276588978176,@cumkom,13,5,3
2471357414,@khunpreut,13,3,3
1050802507218268160,@the10face,13,0,2
2587365168,@Ku100Larn,13,10,3
1068169068492992512,@apad611,12,10,2
145574913,@cyugala,12,5,3
2551822080,@katsuraxnosora,12,5,7
704901440792354816,@Renrael__,12,0,0
987001212351361024,@MVDeepQuotes,12,12,0
1412712248,@MisterHeartz,12,8,4
2885672398,@ThaiRoyalFamily,12,11,1
273346147,@ZhentingLiu,12,4,4
1048718120376926208,@basementkaraok1,12,2,10
1026141870399713281,@elsiamth,12,8,4
1113299318188810240,@tskcytt,12,0,0
1202933904916639746,@Pli_dok_ok_pon,11,7,4
19141546,@thaipost,11,8,3
1115855015657140224,@ongpadipat,11,3,2
1080000870987649024,@VTalomsin,11,3,6
vb+LhxwPwUc6HIMuwuy9yk6sagFdDIkgu0KP4A9dkQ=,@vb+LhxwPwUc6HIMuwuy9yk6sagFdDIkgu0KP4A9dkQ=,11,11,0
1178126190,@iLawFX,11,4,6
2362163185,@prasitchai_k,11,3,8
1020168595307819008,@watanamuangsook,11,1,8
1116699085166145537,@sorkorlao,11,4,6
36295659,@HI_Silom,11,7,4
963431373016129537,@hllod5,11,10,1
108841828,@LastIFound,11,9,2
99681027,@vorachatMD,11,9,1
57832421,@yingcheep,10,3,4
1174983643971801088,@IsaanSopha,10,4,2
2678896735,@onenews31,10,6,4
998815271551827968,@Pachachoncyber,10,8,2
832059191359516674,@annpiyaa,10,0,0
3226842193,@aviknowledge,10,2,8
757426455420645377,@kanphak_mcot,10,5,5
856908850959482880,@netflixth,10,10,0
974248292874776576,@PMOC10,10,9,1
65871931,@Offchainon,10,7,3
279504575,@zenjournalist,10,0,5
20586159,@posttoday,10,0,30
ClCmHl0WM58m4a1lw6gTE0LyVqwEhqm869oHbczn8I=,@ClCmHl0WM58m4a1lw6gTE0LyVqwEhqm869oHbczn8I=,10,10,0
45H6lT4sIAQVwHSmuDvJBpBe3b9ZkWHd7yv3fsginzM=,@45H6lT4sIAQVwHSmuDvJBpBe3b9ZkWHd7yv3fsginzM=,10,10,0
1080340252990926848,@pluchanat,10,10,0
116141566,@Thai_Talk,10,5,5
1018119076516749312,@thaigov1,10,2,7
14301366,@kapookdotcom,10,6,3
69644672,@ittipatNationTV,9,4,5
64358426,@cuttolipta,9,8,1
1192015085134180352,@H39U9R4G07JLoQC,9,7,2
1158501559946244096,@jSYy59MGKgF0lnz,9,8,0
1222419379146510337,@THANAKR99521521,9,9,0
1214935490488492032,@1Vfv69XQ036vpxc,9,9,0
66301173,@P_WJ,9,4,4
417789913,@jidtakornBusaba,9,5,2
1204319952833925120,@narathon1982,9,9,0
IRwucJX8dZCC0DM+nQ+HJWMYn7wLYKXLCDEuWjh4SU=,@IRwucJX8dZCC0DM+nQ+HJWMYn7wLYKXLCDEuWjh4SU=,9,9,0
5Ma1yttR1L4XJsl39s0PkyFzjDcScnCoBne1R70Rxo=,@5Ma1yttR1L4XJsl39s0PkyFzjDcScnCoBne1R70Rxo=,9,9,0
